name,email,phone,address
AACB Microfinance Bank Limited,,,Nnewi/Agulu Road. Adazi Ani Anambra state
AB Microfinance Bank Limited,,,No.9 Oba Akran Avenue. Ikeja Lagos state
Abatele Microfinance Bank Limited,,,Abatele Town Idemili Local Govt. Area Anambra State
ABC Microfinance Bank Limited,,,Mission Road Okada Edo State
Abia State University Microfinance Bank Limited,,,Uturu Isuikuato LGA Abia State
Abigi Microfinance Bank Limited,,,28. Moborode Odofin Street. Ijebi Waterside Ogun State
Abokie Microfinance Bank Limited,,,Plot 2. Murtala Muhammad Square. By Independence Way. Kaduna State
Abubakar Tafawa Balewa University Microfinance Bank Limited,,,Abubakar Tafawa Balewa University (ATBU) Yelwa Road Bauchi
Abucoop Microfinance Bank Limited,,,Plot 251. Millenium Builder&#8217;s Plaza. Herbert Macauley Way. Central Business District Garki Abuja
Accion Microfinance Bank Limited,,,4th Floor Elizaede Plaza 322A Ikorodu Road Beside Lasu Mini Campus. Anthony Lagos
ACE Microfinance Bank Limited,,,3. Daniel Aliyu Street. Kwali Abuja
Acheajebwa Microfinance Bank Limited,,,Sarkin Pawa Town. Muya LGA Niger State
Achina Microfinance Bank Limited,,,Achina Aguata LGA Anambra State
Active Microfinance Bank Limited,,,18A Nkemba Street Uyo Akwa Ibom State
Acuitv Microfinance Bank Limited,,,167. Adeniji Adele Road. Lagod
Ada Microfinance Bank Limited,,,Agwada Town. Kokona Local Govt Area. Nassarawa State
Adaigbo Microfinance Bank Limited,,,12. NEPA Road. Ogwashi-Uku Delta State.
Adazi-Enu Microfinance Bank Limited,,,Nkwor Market Square. Adazi-Enu. Anaocha Local Govt Anambra State
Adazi Nnukwu Microfinance Bank Limited,,,Near Eke Market Adazi Nnukwu. Adazi Anambra State.
Addosser Microfinance Bank Limited,,,32. Lewis Street.Lagos Island Lagos State
Advance Microfinance Bank Limited,,,18. Udok street Uyo Akwa Ibom State.
Advancly Microfinance Bank Limited,,,"42 Local, Airport Rd, Ikeja, Lagos 100271, Lagos State."
Afemai Microfinance Bank Limited,,,61B. Bode Road. Jattu-Uzairue. Edo State
Afotamodi-Ogunola Microfinance Bank Limited,,,Bank House. Oke-Oyinbo Odemo Road. P.O.BOX 112. Isara Road Edo State
Agbarho Microfinance Bank Limited,,,No.95A Old Ughelli/Warri Road. Orho-Agbarho Delta State
Agbowu Microfinance Bank Limited,,,Ogbaagba Olaoluwa Local Govt Area.
Agosasa Microfinance Bank Limited,,,5. Ipokia Road Ilupeju Estate Agosasa Ipokia Local Govt Area.
Aguda-Titun Microfinance Bank Limited,,,21. Shonola Street Aguda Titun. Ogba. Lagos State
Aguleri Microfinance Bank Limited,,,16. Ivensi street Amaeze. Aguleri Anambra State
Ahetou Microfinance Bank Limited,,,Abubakar Onne Local Govt. Area. Rivers State
Ahmadu Bello University Microfinance Bank Limited,,,Main Campus. Opp. Post Graduate School. Kaduna State
Aivepe Microfinance Bank Limited,,,1. Ikenna Road Odogbolu Local Govt Area Ogun State
Ajave Jebwo Microfinance Bank Limited,,,Ejinrin Road. Ijebu South L.G.A Ogun Sta
Ajeko Microfinance Bank Limited,,,Market Square. Ate-Ivale Road Lokoja Kogi State
Ajewole Microfinance Bank Limited,,,Ilorin Road. Sabo Ogbomosho Oyo State
Ajikobi Microfinance Bank Limited,,,13. Ajikobi Street Ilorin Kwara State
